timestamp,ytrue,yhat,q10,q90
2019-11-06,11064.719957540648,12258.459,10514.003,14164.568
2019-11-07,10958.241634678914,12771.229,10946.765,14671.856
2019-11-08,15351.225270268757,13739.895,11881.122,15593.629
2019-11-09,10992.198214236776,12672.776,10718.398,14684.801
2019-11-10,11532.695483813985,12235.488,10243.699,14401.977
2019-11-11,13264.868994845348,13866.783,11903.094,15954.553
2019-11-12,15222.05962044378,12803.014,11291.9,14469.337
2019-11-13,12071.673294280085,11233.246,9409.979,13282.0205
2019-11-14,14985.793209796406,12170.45,10363.01,14057.27
2019-11-15,16388.28405345111,12942.275,11196.702,14719.684
2019-11-16,17853.856140660755,11799.305,9944.585,13755.552
2019-11-17,16882.56496156331,11056.322,9119.307,13144.262
2019-11-18,14332.854328212954,12364.709,10591.855,14224.466
2019-11-19,12452.19710170264,13843.297,11938.78,16366.094
2019-11-20,13422.639104473838,12206.039,10234.252,14850.232
2019-11-21,11791.260940866256,12928.217,11029.268,15452.338
2019-11-22,12414.849671935555,13685.997,11801.632,16185.327
2019-11-23,13605.86414120602,12924.619,10870.946,15507.413
2019-11-24,11038.063069265254,12279.604,10238.74,14971.594
2019-11-25,13632.019128534324,13336.773,11338.622,15963.167
2019-11-26,11839.403912475407,12913.154,11154.57,14936.912
2019-11-27,12754.44642638692,11333.164,9411.625,13540.65
2019-11-28,10309.432877708605,11679.746,9719.902,13970.223
2019-11-29,13689.327307264975,12962.826,10972.391,15189.406
2019-11-30,10980.553694295755,12116.244,10081.841,14499.03
2019-12-01,11671.76312570997,11275.0625,9165.861,13769.303
2019-12-02,12666.378212807942,12650.631,10632.877,14992.406
2019-12-03,14357.691763370376,12799.575,11072.519,15000.801
2019-12-04,10996.163890738244,12347.9,10573.2,14529.316
2019-12-05,13824.439795339347,12693.843,10899.57,14910.199
2019-12-06,15377.177685258128,13356.378,11464.947,15649.424
2019-12-07,12657.047122704758,12670.754,10788.281,14931.855
2019-12-08,13596.719814838216,12638.965,10708.455,15010.172
2019-12-09,12720.024637278171,13879.049,11785.801,16287.517
2019-12-10,12269.3771466484,13491.663,11825.133,15372.656
2019-12-11,10888.606030700312,12366.814,10714.885,14010.436
2019-12-12,16934.35520046571,14157.366,12379.106,16004.341
